name,latitude,longitude,color
AGE00135039: 145,35.7297,0.6500,#85ff00
ASN00066062: 228,-33.8607,151.2050,#f0ff00
ASN00086071: 192,-37.8075,144.9700,#c1ff00
ASN00090015: 211,-38.8556,143.5128,#daff00
AU000005901: 45,48.2331,16.3500,#05ff00
BE000006447: 52,50.8000,4.3500,#0eff00
CA006148100: -6,43.3833,-81.0000,#00ff35
CA006158350: 28,43.6667,-79.4000,#00ff0e
EIE00101859: 94,53.2800,-9.0200,#44ff00
EZE00100082: 18,50.0864,14.4164,#00ff1a
GM000004204: 11,50.9267,11.5842,#00ff22
GME00125218: -13,51.3164,12.4475,#00ff3d
GME00127462: -19,54.3656,13.4783,#00ff44
ITE00100550: 61,44.5000,11.3458,#1aff00
ITE00100554: 50,45.4717,9.1892,#0cff00
SWE00139148: 10,59.8600,17.6300,#00ff23
SZ000006717: -128,45.8667,7.1667,#00ffc3
UK000047811: 83,54.3500,-6.6500,#36ff00
UK000056225: 49,51.7667,-1.2667,#0aff00
